rassrecv,h14itot,r13jhours,r14isret,racohbyr,r14ipena,r14jnjob,r14hlthlm,r14peninc,r14peni_n,h14absns,r13jhour2,h14adebt,r14jlten,h14atota,r14mstath,r13iearn,inw4,inw5,inw6,inw7,inw8,inw9,inw10,inw11,inw12,inw13,inw14,retire,r14agey_b,ragender
1,38904,0,21000,3,7308,3,0,1,1,0,0,0,34.3,475700,1,10000,0,0,0,0,0,0,0,0,0,0,1,1,79,1
1,44832,36,10608,4,0,6,0,0,0,0,0,0,10,152000,1,25000,0,0,0,0,0,0,0,0,0,0,1,1,72,2
1,60380,0,14400,5,42960,5,0,1,2,0,0,0,8.3,389823.53,7,0,0,0,0,0,0,0,0,0,0,0,1,1,70,2
1,12656,33,10656,3,2000,3,1,1,1,0,0,0,23.9,235000,4,25000,0,0,0,0,0,0,0,0,0,0,1,1,79,2
1,20858,35,10404,6,0,1,1,0,0,0,0,0,36.6,25000,7,16000,0,0,0,0,0,0,0,0,0,0,1,1,63,1
1,31388.5474,16,12895.62567,3,10992.92173,3,0,1,2,0,0,0,40.9,419303.4462,7,10000,0,0,0,0,0,0,0,0,0,0,1,1,77,2
1,15696,3,15660,4,0,4,1,0,0,0,0,0,29,116000,7,0,0,0,0,0,0,0,0,0,0,0,1,1,70,2
1,15600,0,15600,3,0,5,0,0,0,0,0,0,15.1,5000,5,0,0,0,0,0,0,0,0,0,0,0,1,0,78,1
1,14400,16,14400,4,0,2,0,0,0,0,0,0,30,106100,7,15000,0,0,0,0,0,0,0,0,0,0,1,1,76,2
1,32848,32,11328,5,0,4,1,0,0,0,6,0,12.1,216000,7,20000,0,0,0,0,0,0,0,0,0,0,1,1,67,2
0,115136,40,0,6,5500,1,0,1,1,0,0,0,27,615000,1,68000,0,0,0,0,0,0,0,0,0,0,1,1,63,2
1,63324,0,21600,4,27600,6,1,1,1,0,0,0,33.7,822000,1,15000,0,0,0,0,0,0,0,0,0,0,1,1,72,1
1,30352,17,25092,5,0,4,1,0,0,0,3,7000,4.2,9680,7,13000,0,0,0,0,0,0,0,0,0,0,1,0,70,2
1,24452,0,17652,4,6000,4,1,1,2,0,0,10000,15.5,346630,7,0,0,0,0,0,0,0,0,0,0,0,1,0,70,2
1,65300,50,0,6,0,2,0,0,0,0,0,0,17.8,373000,5,99600,0,0,0,0,0,0,0,0,0,0,1,1,63,2
1,27600,20,21600,3,0,5,1,0,0,0,0,0,13,6000,1,5500,0,0,0,0,0,0,0,0,0,0,1,1,78,1
1,34092,15,24096,3,0,2,0,0,0,2200000,0,0,26.7,3409000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,76,1
1,34092,0,8196,5,0,4,0,0,0,2200000,0,0,15.5,3409000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,66,2
1,8410,28,8400,3,0,4,1,0,0,0,0,0,46.7,89000,5,7000,0,0,0,0,0,0,0,0,0,0,1,1,78,2
1,7440,0,6000,6,0,3,1,0,0,0,0,0,5,500,8,0,0,0,0,0,0,0,0,0,0,0,1,0,60,1
1,73920,50,11520,4,0,3,0,0,0,1,0,20000,32.6,2163000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,75,1
1,373567.6573,0,1188,4,15600,5,0,1,2,0,0,0,23,790000,1,4000,0,0,0,0,0,0,0,0,0,0,1,1,74,2
1,12720,50,10800,3,0,5,1,0,0,0,0,0,22,40000,5,48000,0,0,0,0,0,0,0,0,0,0,1,1,79,1
1,7200,0,7200,3,0,1,1,0,0,0,0,0,28.3,30000,7,2000,0,0,0,0,0,0,0,0,0,0,1,1,77,2
1,14210.1561,15,14162.1561,3,0,3,0,0,0,0,0,10000,30.9,811500,1,0,0,0,0,0,0,0,0,0,0,0,1,1,79,1
1,36530,40,4555,6,975,4,0,1,1,0,0,0,21.4,26000,7,30000,0,0,0,0,0,0,0,0,0,0,1,0,63,2
1,7800,0,7800,6,0,1,0,0,0,0,0,0,-97,70800,8,43000,0,0,0,0,0,0,0,0,0,0,1,1,64,1
1,7728,0,0,5,0,2,0,0,0,0,0,0,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,64,2
1,59400,0,14400,5,0,5,1,0,0,0,0,0,8,500,5,38000,0,0,0,0,0,0,0,0,0,0,1,1,69,1
0,50000,40,0,6,0,1,0,0,0,0,0,0,-97,0,8,55,0,0,0,0,0,0,0,0,0,0,1,1,62,2
1,59808,0,17400,3,21408,2,0,1,1,0,0,0,32.2,120000,1,13000,0,0,0,0,0,0,0,0,0,0,1,1,86,1
1,6000,72,6000,6,0,4,0,0,0,0,0,5000,28.7,23000,7,26000,0,0,0,0,0,0,0,0,0,0,1,0,65,1
1,212901.2503,16,16392,3,34800,5,0,1,1,0,0,0,14.7,946754,1,8000,0,0,0,0,0,0,0,0,0,0,1,1,76,1
0,39828,8,0,5,0,4,1,0,0,0,0,750,19.8,3250,1,28500,0,0,0,0,0,0,0,0,0,0,1,0,64,1
1,31200,0,17400,3,4200,4,0,1,1,0,0,10000,32.4,145000,1,10000,0,0,0,0,0,0,0,0,0,0,1,1,81,1
1,8640,10,7080,3,0,6,0,0,0,0,0,0,23.5,16000,4,0,0,0,0,0,0,0,0,0,0,0,1,1,79,2
1,29044.92844,70,12944.92844,3,6600,5,1,1,1,0,0,0,17,80000,4,0,0,0,0,0,0,0,0,0,0,0,1,1,83,1
